FEAT_0,FEAT_1,FEAT_2,FEAT_3,FEAT_4,FEAT_5,FEAT_6,FEAT_7,FEAT_8,FEAT_9,FEAT_10,FEAT_11,FEAT_12,FEAT_13,FEAT_14,FEAT_15,FEAT_16,FEAT_17,CATEGORY
0.83,JOB_A,0,4,-0.83,0,3,0.01,0.01,4,3,0.2,0.1,-0.1,8,CITY_A,0.54,0.34,1
0.77,JOB_B,0,4,-0.77,0,3,0,0.16,7,8,0.1,0.8,-0.8,4,CITY_A,0.61,0.16,1
0.06,JOB_B,1,3,-0.06,8,7,0.41,0.91,2,2,0.6,0.6,-0.6,0,CITY_A,0.71,0.18,0
0.7,JOB_A,1,4,-0.7,2,1,0.71,0.7,8,10,0.2,0.9,-0.9,1,CITY_A,0.64,0.97,3
0.33,JOB_A,1,2,-0.33,10,10,0.02,0,3,8,0.5,0.7,-0.7,5,CITY_A,0.89,0.51,1
0.49,JOB_A,0,3,-0.49,4,2,0.05,0.86,10,0,0,0.9,-0.9,6,CITY_A,0.76,0.11,2
0.21,JOB_B,0,3,-0.21,5,9,0.5,0.07,2,8,0.3,0.2,-0.2,7,CITY_A,0.57,0.03,2
0.16,JOB_A,1,4,-0.16,8,10,0.96,0.43,1,10,0.9,0.2,-0.2,4,CITY_A,0,0.15,1
0.17,JOB_A,1,5,-0.17,5,4,0.01,0.11,6,4,0.5,0.6,-0.6,1,CITY_A,0.3,0.16,0
0.01,JOB_A,1,5,-0.01,3,7,0.55,0.01,1,4,0.4,0.8,-0.8,8,CITY_A,0.16,0,2
0.06,JOB_D,2,2,-0.06,4,0,0.14,0.2,4,6,0.4,0.1,-0.1,4,CITY_A,0.72,0.76,2
0.68,JOB_D,1,1,-0.68,1,10,0.02,0.01,8,1,0.1,1,-1,3,CITY_A,0.69,0.71,2
0.42,JOB_A,2,5,-0.42,10,1,0.04,0.42,7,3,0.3,0.7,-0.7,1,CITY_A,0.22,0.51,2
0.78,JOB_B,1,5,-0.78,4,5,0.01,0.35,1,0,0.7,0.9,-0.9,8,CITY_A,0.48,0.35,1
0.01,JOB_A,2,4,-0.01,1,1,0.18,0.06,,10,0.1,0.3,-0.3,7,CITY_A,0.14,0,2
0.9,JOB_C,2,4,-0.9,4,0,0.21,0.72,10,7,0.3,0.8,-0.8,9,CITY_A,0.2,0.09,3
0.23,JOB_C,2,3,-0.23,2,8,0.1,0.18,4,2,0.8,0.4,-0.4,4,CITY_A,0.09,0.78,1
0.32,JOB_A,1,3,-0.32,9,5,0.75,0.04,8,10,0.7,0.7,-0.7,9,CITY_A,0.44,0.29,1
0.72,JOB_D,2,1,-0.72,5,7,0.99,0.21,2,7,0.6,0.7,-0.7,6,CITY_A,0.07,0.6,2
0,JOB_D,2,2,0,7,1,0.73,0.15,8,7,0.5,0,0,3,CITY_A,0.02,0.57,0
0.56,JOB_B,1,3,-0.56,6,9,0.16,0.07,0,7,0.4,0.8,-0.8,0,CITY_A,0.53,0.64,2
0,JOB_B,1,2,0,1000,8,0.03,0.16,8,4,0,0,0,3,CITY_A,0.3,0.07,2
0.71,JOB_B,2,4,-0.71,2,0,0.44,0.2,2,3,0.8,0.6,-0.6,1,CITY_A,0.88,0.38,1
0.16,JOB_B,0,2,-0.16,8,1,0.06,0.6,9,2,0.6,0.8,-0.8,10,CITY_A,0.24,0.38,0
0.67,JOB_B,2,4,-0.67,9,6,0.14,0.63,8,7,0.2,0.9,-0.9,6,CITY_A,0.77,0.97,3
0.49,JOB_A,2,3,-0.49,10,0,0.06,0.74,4,2,0.1,0.3,-0.3,8,CITY_A,0,0.03,3
0.05,JOB_A,1,5,-0.05,1,4,0.82,0.6,0,3,0.3,0.3,-0.3,3,CITY_A,0.38,0.73,2
0,JOB_C,1,3,0,4,9,0.03,0.52,6,7,0.5,0.6,-0.6,5,CITY_A,0.12,0.62,1
0.16,JOB_A,2,4,-0.16,2,3,0.39,0.5,7,9,0,0.4,-0.4,7,CITY_A,0.99,0.45,3
0.25,JOB_A,0,3,-0.25,2,5,0.52,0.12,0,5,0.7,0.7,-0.7,9,CITY_A,0.77,0.02,0
0.97,JOB_D,0,3,-0.97,7,4,0.74,0.06,1,9,0.8,0,0,8,CITY_A,0.8,0.02,0
0.46,JOB_D,1,2,-0.46,3,4,0.05,0.01,7,9,0.5,0,0,7,CITY_A,0.3,0.16,0
0.64,JOB_C,1,3,-0.64,2,10,0,0.05,0,0,0.8,0.4,-0.4,0,CITY_A,0,0.1,0
0,JOB_A,2,2,0,3,10,0,0.92,7,6,0.5,0.2,-0.2,10,CITY_A,0.45,0.93,2
0.58,JOB_A,2,5,-0.58,8,0,0.19,0.39,10,7,0.3,0.9,-0.9,2,CITY_A,0.12,0.02,3
0.61,JOB_C,1,3,-0.61,7,3,0.06,0.27,1,5,0.5,0.1,-0.1,0,CITY_A,0.54,0.02,0
0.64,JOB_B,0,3,-0.64,10,10,0.04,0.3,0,2,0.7,0.2,-0.2,2,CITY_A,0,0.01,0
0.18,JOB_C,1,4,-0.18,1,1,0.44,0,0,3,0.4,0.3,-0.3,0,CITY_A,0.16,0.57,1
0.94,JOB_B,0,4,-0.94,8,7,0.07,0.02,6,4,0.8,0.5,-0.5,10,CITY_A,0.02,0.02,0
0.86,JOB_A,2,3,-0.86,7,8,0.49,0.96,3,4,0.4,0.7,-0.7,7,CITY_A,0.01,0.01,3
0.32,JOB_D,1,2,-0.32,5,2,0.79,0.66,9,2,0.4,0.3,-0.3,3,CITY_A,0.24,0.53,2
0.77,JOB_A,2,4,-0.77,2,8,0.13,0.15,1,4,0.6,0.4,-0.4,8,CITY_A,0.85,0.75,2
0.02,JOB_A,1,3,-0.02,2,9,0.33,0.85,8,5,0,0.9,-0.9,5,CITY_A,0.48,0,2
1,JOB_A,0,4,-1,4,0,0.15,0.63,5,7,0.1,0.5,-0.5,5,CITY_A,0.99,0.02,3
0.02,JOB_C,1,5,-0.02,2,1,0.37,0.58,10,1,0.7,0.2,-0.2,1,CITY_A,0.05,0.13,0
0.76,JOB_C,1,4,-0.76,10,4,0.84,0.7,5,10,0.1,0.7,-0.7,8,CITY_A,0.39,0.35,3
0.74,JOB_C,1,4,-0.74,10,3,0.4,0,7,8,0.2,0.9,-0.9,9,CITY_A,0.04,0.45,1
0.36,JOB_A,1,5,-0.36,5,0,0.17,0.79,9,2,0.4,0.7,-0.7,0,CITY_A,0.84,0.99,2
0.32,JOB_D,1,3,-0.32,0,7,0.85,0.49,5,2,0.7,0.7,-0.7,5,CITY_A,0.82,0.1,1
0.49,JOB_C,0,4,-0.49,4,10,0.68,0.14,6,6,1,0.7,-0.7,7,CITY_A,0.41,0.06,0
0.18,JOB_A,0,4,-0.18,3,0,0.01,0.56,5,9,0.1,0.1,-0.1,9,CITY_A,0.03,0.01,1
0.72,JOB_C,1,4,-0.72,3,9,0.71,0.11,9,4,0.3,0.8,-0.8,3,CITY_A,0,0.71,2
0.65,JOB_C,2,2,-0.65,8,8,0.39,0.05,1,9,0.3,0.2,-0.2,8,CITY_A,0.08,0.9,3
0.12,JOB_A,2,1,-0.12,4,5,0.02,0.49,0,5,0.2,0.2,-0.2,1,CITY_A,0.08,0.05,2
0.27,JOB_C,1,2,-0.27,1,0,0.24,0,8,7,0.3,0.3,-0.3,0,CITY_A,0.03,0.04,1
0.63,JOB_A,1,4,-0.63,4,5,0.25,0.01,10,4,1,0.6,-0.6,1,CITY_A,0.61,0.75,0
0.26,JOB_A,1,2,-0.26,9,2,0.89,0,,7,0.7,0.4,-0.4,2,CITY_A,0.74,0.08,0
0.86,JOB_B,1,4,-0.86,8,6,0.63,0.18,3,1,0.7,0.2,-0.2,7,CITY_A,0.26,0.81,1
0.07,JOB_C,1,2,-0.07,7,5,0.15,0.01,3,4,0.3,0.1,-0.1,5,CITY_A,0.1,0.92,1
0.6,JOB_A,1,5,-0.6,2,2,0.36,0.14,3,4,0.6,0.1,-0.1,5,CITY_A,0.87,0.27,0
0.06,JOB_C,1,3,-0.06,10,10,0.19,0,4,5,0.1,0.5,-0.5,7,CITY_A,0.92,0.12,2
0.64,JOB_A,1,4,-0.64,1000,8,0.57,0,1,4,0.6,0.2,-0.2,7,CITY_A,0.45,0.11,0
0.81,JOB_A,1,1,-0.81,9,3,0.82,0.3,1,8,0.2,0.4,-0.4,5,CITY_A,0.12,0.09,2
0.02,JOB_A,2,3,-0.02,10,2,0.81,0.06,5,0,0.3,0.7,-0.7,0,CITY_A,0.82,0.41,2
0.15,JOB_B,1,2,-0.15,7,6,0.46,0.75,7,10,0.5,0.1,-0.1,9,CITY_A,0.03,0.75,1
0.93,JOB_D,2,2,-0.93,1000,1,0.13,0.4,2,10,0.3,0.7,-0.7,1,CITY_A,0.69,0.7,3
0.01,JOB_A,0,3,-0.01,5,1,0.81,0.96,0,8,0.8,0.7,-0.7,0,CITY_A,0.19,0.74,0
0.81,JOB_A,1,4,-0.81,2,10,0.97,0.49,1,0,0.8,0.1,-0.1,6,CITY_A,0.59,0.28,2
0.88,JOB_C,1,2,-0.88,2,7,0.21,0.01,3,1,0.5,0.9,-0.9,4,CITY_A,0.42,0.57,0
0.25,JOB_A,1,5,-0.25,1000,8,0.93,0,8,6,0.4,0.6,-0.6,1,CITY_A,0.49,0,2
0.55,JOB_A,0,1,-0.55,7,9,0.32,0.96,9,7,0.4,0.7,-0.7,3,CITY_A,0.19,0.67,3
0.04,JOB_C,2,2,-0.04,8,6,0.25,0.81,3,9,0.7,0.5,-0.5,8,CITY_A,0.15,0.4,1
0.1,JOB_A,1,4,-0.1,10,0,0.58,0.07,,5,0.4,0.2,-0.2,4,CITY_A,0.7,0.88,1
0.74,JOB_D,1,1,-0.74,3,7,0.92,0.39,0,10,0.8,0.7,-0.7,8,CITY_A,0.18,0.01,2
0.02,JOB_A,1,4,-0.02,3,5,0.14,0.52,3,5,0.3,0.8,-0.8,6,CITY_A,0,0.38,2
0.05,JOB_D,2,3,-0.05,6,9,0.02,0.86,4,2,0,0.8,-0.8,4,CITY_A,0.47,0.02,3
0,JOB_A,1,5,0,4,8,0.01,0,2,2,0.5,0.1,-0.1,4,CITY_A,0,0.01,0
0.2,JOB_A,1,1,-0.2,8,9,0.06,0.9,5,0,0.7,0.7,-0.7,5,CITY_A,0.03,0.93,1
0.03,JOB_A,1,4,-0.03,3,0,0.27,0,10,8,0.2,0.4,-0.4,10,CITY_A,0.99,0,2
0.12,JOB_B,2,3,-0.12,5,5,0.35,0.56,,10,0.8,0.4,-0.4,7,CITY_A,0.01,0.95,1
0,JOB_A,1,4,0,4,9,0.1,0.25,6,3,0.4,0.1,-0.1,9,CITY_A,0.01,0.34,2
0.45,JOB_A,2,3,-0.45,4,2,0.37,0.39,7,3,1,0.2,-0.2,5,CITY_A,0.04,0,1
0.03,JOB_A,0,4,-0.03,9,6,0.93,0.45,7,4,0.5,0.7,-0.7,8,CITY_A,0.06,0.14,0
0.03,JOB_C,0,4,-0.03,1,6,0.46,0.4,10,5,0.7,0.4,-0.4,10,CITY_A,0.51,0.84,0
0.29,JOB_B,1,3,-0.29,7,10,0.81,0.45,,9,0.4,0.4,-0.4,9,CITY_A,0.06,0.31,3
0.23,JOB_B,1,3,-0.23,2,9,0.04,0.84,9,3,0.9,0.2,-0.2,5,CITY_A,0.73,0.24,1
0.78,JOB_C,1,3,-0.78,8,10,0.05,0.55,,2,0.3,0.8,-0.8,5,CITY_A,0.53,0.54,3
0.81,JOB_A,0,3,-0.81,10,2,0,0.62,6,7,0.8,0.3,-0.3,4,CITY_A,0.16,0.93,1
0.88,JOB_B,0,2,-0.88,0,4,0.9,0.1,5,7,0.3,0.5,-0.5,3,CITY_A,0.49,0.33,1
0.04,JOB_A,2,4,-0.04,3,1,0.02,0.36,10,9,0.9,0.5,-0.5,6,CITY_A,0.01,0.01,1
0.09,JOB_A,1,5,-0.09,1000,5,0.97,0.62,0,7,0.6,0.8,-0.8,9,CITY_A,0.34,0,1
0.05,JOB_C,1,2,-0.05,6,0,0.32,0.81,6,8,0.9,0.7,-0.7,5,CITY_A,0.92,0.02,0
0.75,JOB_D,1,5,-0.75,5,3,0.24,0.29,0,5,0.4,0.4,-0.4,6,CITY_A,0.19,0.63,2
0,JOB_A,1,1,0,5,3,0.23,0.76,,5,0.6,0.2,-0.2,2,CITY_A,0.02,0.95,0
0,JOB_A,1,4,0,7,1,0.07,0.15,4,4,0.5,0.9,-0.9,10,CITY_A,0.02,0.51,0
0.59,JOB_B,1,1,-0.59,8,1,0.46,0.08,8,4,0.1,0.6,-0.6,6,CITY_A,0.29,0.1,1
0.34,JOB_D,0,4,-0.34,10,4,0.16,0.91,2,1,0.9,0.7,-0.7,0,CITY_A,0.57,0.44,0
0.77,JOB_B,1,1,-0.77,8,7,0.16,0.32,4,2,0.5,0.6,-0.6,10,CITY_A,0.64,0.44,1
0.55,JOB_A,1,3,-0.55,5,0,0.24,0.53,4,10,0.6,0.8,-0.8,1,CITY_A,0.01,0,1
0.26,JOB_A,1,3,-0.26,6,4,0,0.16,1,8,0.5,0.6,-0.6,8,CITY_A,0.79,0.01,1
0.04,JOB_A,1,4,-0.04,7,2,0.03,0.46,0,0,0.8,0.1,-0.1,6,CITY_A,0.07,0.24,0
0,JOB_B,2,3,0,7,4,0,0.91,4,1,0.7,0,0,6,CITY_A,0.94,0.69,1
0.34,JOB_C,1,3,-0.34,6,4,0.93,0,9,7,0.4,0.7,-0.7,3,CITY_A,0.37,0.93,2
0.04,JOB_B,0,3,-0.04,3,8,0.47,0.03,3,7,1,0.2,-0.2,8,CITY_A,0,0.03,0
0.32,JOB_B,1,5,-0.32,4,2,0.31,0,10,6,0.2,1,-1,5,CITY_A,0,0.6,1
0.8,JOB_D,0,1,-0.8,1000,1,0.9,0.98,5,7,0.9,0.2,-0.2,2,CITY_A,0,0,2
0.06,JOB_A,1,2,-0.06,4,5,0.83,0.03,8,2,0.3,0.9,-0.9,4,CITY_A,0.85,0.47,2
0.19,JOB_C,2,2,-0.19,2,3,0.55,0.68,9,5,0.1,0,0,8,CITY_A,0.22,0.74,3
0.93,JOB_C,1,3,-0.93,7,3,0.49,0.13,1,9,0.3,0.8,-0.8,0,CITY_A,0.02,0.65,2
0.04,JOB_B,0,4,-0.04,0,2,0.85,0.01,2,8,0.5,0.2,-0.2,4,CITY_A,0.02,0.6,0
0.6,JOB_D,1,2,-0.6,3,7,0.98,0,1,5,0.4,0.4,-0.4,5,CITY_A,0.11,0.95,2
0.06,JOB_A,2,3,-0.06,9,5,0.72,0.53,7,2,0.7,0.4,-0.4,8,CITY_A,0.01,0.02,1
0.01,JOB_B,1,4,-0.01,6,7,0.57,0.14,,9,0.3,0.1,-0.1,9,CITY_A,0.83,0.81,2
0.15,JOB_B,1,2,-0.15,7,9,0.29,0.32,,0,0.3,1,-1,3,CITY_A,0.72,0,2
0.98,JOB_A,1,2,-0.98,2,9,0.37,0.31,5,0,0.1,0.8,-0.8,5,CITY_A,0.44,0.11,3
0.91,JOB_B,1,2,-0.91,4,2,0.18,0.78,4,1,0.9,0.8,-0.8,2,CITY_A,0.15,0.04,2
0.08,JOB_A,2,5,-0.08,4,0,0.1,0.19,10,4,0.9,0.5,-0.5,0,CITY_A,0.07,0.65,0
0.15,JOB_A,1,3,-0.15,1,7,0.96,0.01,1,10,0.7,0.9,-0.9,10,CITY_A,0.28,0.08,1
0,JOB_C,2,4,0,10,2,0.67,0.76,5,5,0.8,0.7,-0.7,6,CITY_A,0.88,0,0
0.11,JOB_A,0,3,-0.11,1000,5,0.55,0.77,2,2,0.1,0.5,-0.5,2,CITY_A,0.49,0.67,1
0.41,JOB_C,2,1,-0.41,0,3,0.22,0.19,,3,0.4,0.7,-0.7,4,CITY_A,0.91,0.31,2
0.65,JOB_A,0,1,-0.65,10,5,0.13,0.14,2,8,0.4,0.4,-0.4,3,CITY_A,0.87,0.05,2
0.23,JOB_C,1,2,-0.23,7,7,0.26,0.02,0,5,0.5,0.8,-0.8,1,CITY_A,0,0.48,0
0.17,JOB_A,0,3,-0.17,5,8,0.09,0.07,10,4,0.4,0.4,-0.4,6,CITY_A,0.55,0.44,1
0.02,JOB_A,1,4,-0.02,1,8,0.73,0.31,,1,0.6,0,0,7,CITY_A,0,0.02,0
0.78,JOB_C,0,4,-0.78,4,6,0.02,0.64,1,0,0.1,0.1,-0.1,4,CITY_A,0.02,0.35,3
0.13,JOB_A,1,5,-0.13,0,3,0.02,0.4,5,8,0,0.5,-0.5,9,CITY_A,0.24,0,2
0.99,JOB_A,0,2,-0.99,3,4,0.17,0.05,1,8,0.9,0.8,-0.8,6,CITY_A,0.22,0.21,0
0,JOB_A,1,3,0,3,3,0.34,0.96,6,10,0.1,0,0,1,CITY_A,0.02,0.38,2
0.23,JOB_B,1,3,-0.23,9,2,0.01,0.82,,7,0.4,0.7,-0.7,4,CITY_A,0.03,0.2,2
0.03,JOB_A,0,1,-0.03,4,5,0.39,0.05,6,1,0.7,0.7,-0.7,9,CITY_A,0.86,0,0
0.58,JOB_D,1,4,-0.58,1,9,0.18,0,4,4,0.6,0.1,-0.1,3,CITY_A,0.07,0.78,0
0.27,JOB_B,1,3,-0.27,1,4,0,0.14,3,1,0.3,1,-1,9,CITY_A,0.88,0.14,2
0.85,JOB_A,1,2,-0.85,5,1,0.78,0.11,5,7,0.4,0.9,-0.9,2,CITY_A,0,0.42,2
